BrandAAIAID	PartNumber	Weight	Length	Width	Height
BBHK	0986435410	0.95	9.75	2.75	2.75
BBHK	0986435415	0.95	9.75	2.75	2.75
BBHK	0986435433	0.95	9.75	2.75	2.75
BBHK	0986435502	1.55	9.75	2.75	2.75
BBHK	0986435503	1.45	9.75	2.75	2.75
BBHK	0986435504	1.6	9.75	2.75	2.75
BBHK	0986435505	1.45	9.75	2.75	2.75
BBHK	0986435518	1.35	9.75	2.75	2.75
BBHK	0986435519	1.35	9.75	2.75	2.75
BBHK	0986435520	1.6	9.75	2.75	2.75
BBHK	0986435521	1.6	9.75	2.75	2.75
BBHK	0986435522	1.5	9.75	3	3
BBHK	0986435530	1.55	9.75	2.75	2.75
BBHK	0986435539	2.65	11	2.75	2.75
BBHK	0986435545	1.55	9.75	2.75	2.75
BBHK	0986435548	1.45	9.75	2.75	2.75
BBHK	0986435549	1.45	9.75	2.75	2.75
BBHK	0986435551	2.25	9.75	2.75	2.75
BBHK	0986435552	1.6	9.75	2.75	2.75
BBHK	0986435573	1.3	9.75	2.75	2.75
BBHK	0986435574	1.3	9.75	2.75	2.75
BBHK	0986435577	1.45	9.75	2.75	2.75
BBHK	0986435578	2.65	9.75	2.75	2.75
BBHK	0986435598	1.3	11	2.75	2.75
BBHK	0986435621	1.3	9.75	2.75	2.75
BBHK	0986435624	2.65	11	2.75	2.75
BBHK	0986435642	2.65	11	2.75	2.75
BBHK	0986435646	2.65	11	2.75	2.75
BBHK	0986435647	2.65	11	2.75	2.75
BBHK	0986435655	1.9	9.75	2.75	2.75
BBHK	0986435663	1.9	9.75	2.75	2.75
BBHK	0986435673	1.95	9.75	2.75	2.75
BBHK	F00RL00129	4.4	20	5	3
BBHK	F00R001205	4.4	20	5	3
BBHK	F00R001505	4.45	20	5	3
BBHK	F00R001512	4.5	20	5	3
BBHK	F00RL01027	4.15	20	5	3
BBHK	F00RL00591	4.9	20	5	3
BBHK	0445214270	2.95	20	5	3
BBHK	0445216043	3.35	20	5	3
BBHK	0445216050	3.3	20	5	3
BBHK	0445218015	4.05	20	5	3
BBHK	0445218017	5.7	20	5	3
BBHK	0445226014	5.05	20.25	5.25	3.5
BBHK	0445226135	6.85	20.25	5.5	4
BBHK	0445226167	6.7	20.25	5.5	4
BBHK	0986445103	5.9	10.5	3.78	4.5
BBHK	0986441027	2.85	11.25	5	3
BBHK	0986445008	5.75	10.5	4.25	4
BBHK	RB5235575	5.6	13.25	5.75	2.75
BBHK	0986445011	5.75	10.5	4.25	4
BBHK	0986445021	5.85	10.5	4.25	4
BBHK	RB5235695	5.6	13.25	5.75	2.75
BBHK	RB5234970	5.55	13.25	5.75	2.75
BBHK	0986441028	3.45	13.25	5.75	2.75
BBHK	RB5236962	4.15	12	6.5	4.5
BBHK	RB5236978	5.5	13.25	5.75	2.75
BBHK	RB5237820	5.5	13.25	5.75	2.75
BBHK	RB5237821	5.6	13.25	5.75	2.75
BBHK	0414703003	3.2	11	4.75	2.5
BDZW	762348-5011S				
BDZW	769210-5003S	23.55	10.5	11.5	14.5
BDZW	712371-5089S	19.1			
BDZW	712401-5001S	13.45	9	9	13.5
BDZW	712402-5055S				
BDZW	735574-5019S				
BDZW	757105-5036S	21	11	10	11.5
BDZW	449530-5006S	21.95	10.5	10.5	11.5
BDZW	762348-5012S				
BDZW	465960-5015S	18.6	9	10	12
BDZW	714788-5001S				
BDZW	714792-5002S	52.3	15.5	13.75	18
BDZW	758204-9007S				
BDZW	758204-5007S				
BDZW	768440-5015S	47.35	12.25	13.75	12
BDZW	751361-5001S	35.25	13.5	13.25	15.5
BDZW	830724-5007S	44.35	12.25	14	12
BDZW	700716-5018S				
BDZW	758204-9006S				
BDZW	712402-5007S	13.4	9.25	9.25	9.25
BDZW	795787-5016S				
BDZW	712371-5016S	19.6	10.25	11.75	14.5
BDZW	751400-5001S	28.1	10.5	11.25	11.75
BDZW	757105-5035S				
BDZW	727264-5001W				
BDZW	409770-5019S				
BDZW	466334-5004S	18.6	10	11.75	14.5
BDZW	804240-5001S	31.7	16.5	9	12
BDZW	409250-5002S	17.35	9.25	9.25	9.25
BDZW	466608-5002S				
BDZW	743250-5025S	41.05	13.75	13.75	15.5
BDZW	848212-5001S	51.9	13.75	13.75	15.5
BDZW	725390-5006S	39.85	13.5	13.25	13
BDZW	851824-5001S	43.55			
BDZW	848212-5002S				
BDZW	854572-5001S	39.1	10.25	11.75	14.5
BDZW	743250-5024S				
BDZW	888142-5001S	48.8	14	13.5	15
BDZW	888143-5001S	49.3	14	13.5	15
BDZW	848212-9001S				
BDZW	781504-5013S	18.1	13	13	13
BDZW	765155-5008S	18.6	17	9	12
BDZW	778445-5002S				
BDZW	821719-5004S	14.9	13	11	9.75
BDZW	857260-5001S				
BDZW	855563-5001S				
BDZW	721021-5008S	22.7	16.75	9.5	12
BDZW	855562-5001S				
BDZW	827053-5001S	22.9	28.75	10.5	10.5
BDZW	855563-5002S				
BDZW	772441-5002S	43.3	14	13.25	15
BDZW	773540-5001S				
BDZW	739619-5004S	31.55	14	13.25	15
BDZW	898199-5001W				
BDZW	881028-5002S				
BDZW	777469-5002S				
BDZW	886976-5004S	54.25	13.75	13.5	15.5
BDZW	773542-5001S				
BDZW	881027-5002S				
BDZW	886195-5001S				
BDZW	777318-5003W	19.7	16.75	9	12
BDZW	736088-5006S	17.1	16.75	9	12
BDZW	777318-5002W	19.85			
BDZW	466646-5019S	20.85	13	10.75	9.5
BDZW	751851-5004S	19.5	16.75	9	12
BDZW	465366-5018S	19.8	9	10	12
BDZW	407370-5009S	62.95	13.5	13.5	15
BDZW	466176-5001S				
BDZW	734852-5009S	40.25	13	13	13
BBMX	EX551001	4.9	11.25	5.75	3.5
BBMX	EX630781	3.5	11.25	5.75	3.5
BBMX	EX630955	5.7	11.25	5.75	3.5
BBMX	EX630956	5.65	11.25	5.75	3.5
BBMX	EX630957	5.75	11.25	5.75	3.5
BBMX	EX630958	5.75	11.25	5.75	3.5
BBMX	EX630967	4.9	11.25	5.75	3.5
BBMX	EX630968	5	11.25	5.75	3.5
BBMX	EX631003	5.15	11.25	5.75	3.5
BBMX	EX631007	5.05	11.25	5.75	3.5
BBMX	EX631015	2.95	11.25	5.75	3.5
BBMX	EX631016	2.9	11.25	5.75	3.5
BBMX	EX631017	3	11.25	5.75	3.5
BBMX	EX631018	3.05	11.25	5.75	3.5
BBMX	EX631028	3.2	11.25	5.75	3.5
BBMX	EX631029	3.15	11.25	5.75	3.5
BBMX	EX631030	3.05	11.25	5.75	3.5
BBMX	EX631074	3.15	11.25	5.75	3.5
BBMX	EX631078	3.15	11.25	5.75	3.5
BBMX	EX631079	3.2	11.25	5.75	3.5
BBMX	EX631084	3.2	11.25	5.75	3.5
BBMX	EX631085	3.2	11.25	5.75	3.5
BBMX	EX631086	3.2	11.25	5.75	3.5
BBMX	EX631087	3.05	11.25	5.75	3.5
BBMX	EX631088	1.3	11.25	5.75	3.5
BBMX	EX631089	1.3	11.25	5.75	3.5
BBMX	EX631133	3.35	11.25	5.75	3.5
BBMX	EX631134	2.6	11.25	5.75	3.5
BBMX	EX631145	1.65	11.25	5.75	3.5
BBMX	EX631155	1.6	11.25	5.75	3.5
BBMX	EX631158	1.65	11.25	5.75	3.5
BBMX	EX631273	5.75	11.25	5.75	3.5
BBMX	EX631262	3.5	11.25	5.75	3.5
BBMX	EX631753	3.95	11.25	5.75	3.5
BBMX	EX631756	3.95	11.25	5.75	3.5
BBMX	EX631760	3.75	11.25	5.75	3.5
BBMX	EX631761	3.8	11.25	5.75	3.5
BBMX	EX631763	3.75	11.25	5.75	3.5
BBMX	EX631766	3.8	11.25	5.75	3.5
BBMX	EX631767	3.8	11.25	5.75	3.5
BBMX	EX632542	3.9	11.25	5.75	3.5
BBMX	EX632977	5.5	11.25	5.75	3.5
BBMX	EX634761	3.3	11.25	5.75	3.5
BBMX	EX634434	3.15	11.25	5.75	3.5
BBMX	EX634762	3.3	11.25	5.75	3.5
BBMX	EX634763	3.3	11.25	5.75	3.5
BBMX	EX634888	3.2	11.25	5.75	3.5
BBMX	EX635575	5.6	11.25	5.75	3.5
BBMX	EX635919	5.7	11.25	5.75	3.5
BBMX	EX635695	5.55	11.25	5.75	3.5
BBMX	EX636977	5.55	11.25	5.75	3.5
BBMX	EX636978	5.55	11.25	5.75	3.5
BBMX	EX637557	3.9	11.25	5.75	3.5
BBMX	EX637560	3.8	11.25	5.75	3.5
BBMX	EX637821	5.6	11.25	5.75	3.5
BBMX	EX63800AA	3.4	11.25	5.75	3.5
BBMX	EX63701AB	3.4	11.25	5.75	3.5
BBMX	EX63803AD	3.4	11.25	5.75	3.5
BBMX	EX63804AE	3.4	11.25	5.75	3.5
BBMX	EX638665	3.2	11.25	5.75	3.5
BBMX	EX639349	3.5	11.25	5.75	3.5
BBMX	EX836101	13.1	12	8	8
BBMX	EX836100	16.3	12	8	8
BBMX	EX639350	3.5	11.25	5.75	3.5
BBMX	EX850000	3.4	18	6	5
BBMX	EX850001	3.95	18	6	5
BBMX	EX850002	2.95	18	6	5
JWTR	67	8	13	9	7
JWTR	75	19	13	9	7
JWTR	88	8	13	9	7
JWTR	98	5	13	9	7
JWTR	2128	8	13	9	7
JWTR	2162R	8.5	13	9	7
JWTR	2598PE	9	13	9	7
JWTR	4114	10.5	14	10	10
JWTR	4575	10	13	9	7
JWTR	US7123H	9	13	9	7
JWTR	16002	12	13	9	7
JWTR	16016002W	12.5	13	9	7
JWTR	1600067W	9	13	9	7
JWTR	1600072W	7	13	9	7
JWTR	1600722W	10	13	9	7
JWTR	1602128W	8.5	13	9	7
JWTR	160222W	8	13	9	7
JWTR	10R7054	15	16	12	12
JWTR	10R8897	25	14	10	10
JWTR	10R8899	26.5	14	10	10
JWTR	HP004X	9	13	9	7
JWTR	HP005X	9	13	9	7
JWTR	HP008X	9	13	9	7
JWTR	HP020X	12	13	9	7
JWTR	HP022X	12	13	9	7
JWTR	HP032X	9	13	9	7
BBHK	FORD67C	44.3	35	17	11.5
BBHK	FORD67B	44.3	35	17	11.5
BBHK	FORD67A	44.3	35	17	11.5
BBHK	FORD67D	44.3	35	17	11.5
CLVL	AP60901	1.5	9.5	4	3
BBHK	0986435410	0.85	9.75	2.75	9.75
BBHK	0986435502	1.55	9.5	9.75	9.5
CLVL	AP63803AD	3.25	9.5	4	9.75
JWTR	-IPVR15X	19.3	13	9	7
JWTR	-IPVR16X	19.3	13	9	7
JWTR	-IPVR17X	19.3	13	9	7
JWTR	-IPVR19X	19.3	13	9	7
BBHK	0986435503	1.5	9.75	2.75	9.75
BBHK	0445120177	1.3	10.75	2.75	10.5
BBHK	0986437441	10	14.5	9.5	8
BBHK	0986435621	1.35	9.75	2.75	9.75
CLVL	AP64920	51.2	22.5	19.25	18
CLVL	AP54820	76.45	22	19	18.5
CLVL	AP66955	2.15	9.75	4	9.75
BBHK	0986435646	2.65	11	2.75	11
BBHK	0986435504	1.6	9.75	2.75	9.75
BBHK	0986435539	2.65	11	2.75	11
BBHK	0432193635	0.6	6.75	2.5	6.5
CLVL	AP63903AD	3.2	9.75	4	9.75
BBHK	0445124019	1.25	8.5	8.75	2.5
JWTR	7430022DEL	22.9	18	14	10
JWTR	7430021DEL	24.65	24	18	10
BFCM	GA101N	7.7	8	8	8
BFCM	GA102	37.3	41	11	11
BFCM	GA103	20.8	36	10	7
BFCM	GA104N	9.7	9	7	10
BFCM	GA110N	18.5	15	12	10
BFCM	GA201N	31.9	14	11	7
BFCM	GA202N	8.7	9	8	10
BFCM	GA301	7	23	6	7
BFCM	GA320N	5.9	9	10	8
BFCM	GA601FXN	17.2	26.3	8.1	8.5
BFCM	GA602FXN	19.5	29	8	5
BFCM	GA604N	11.8	19	8	5
BFCM	GA605N	8.9	16	8	4
BFCM	GA610N	4.5	11	6	4
BFCM	GA612N	15.4	12	10	7
ZZZZ	0986435109	1.25	9.75	2.75	2.75
ZZZZ	0986435504	1.6	9.75	2.75	2.75
ZZZZ	0986435518	1.35	9.75	2.75	2.75
ZZZZ	0986435573	1.3	9.75	2.75	2.75
ZZZZ	0986437106	8.8	9	8.5	6
ZZZZ	0986437303	18.05	14.5	9.5	8
ZZZZ	0986437304	16.85	14.5	9.5	8
ZZZZ	0986437308	18.05	14.5	9.5	8
ZZZZ	0986437333	18.85	14.5	9.5	8
ZZZZ	0986437334	18.35	12	11	8.5
ZZZZ	0986437341	17.55	14.5	9.5	8
ZZZZ	0986437370	19.2	14.5	9.5	8
ZZZZ	0986437422	9.05	9	8.5	6
ZZZZ	0986435564	1.6	9.75	2.75	2.75
ZZZZ	0986437310	18	14.5	6.5	8
ZZZZ	0986437441	9	9.5	8.5	6.5
HNZR	7358-PP	53	14	14	14
HNZR	7357-PP	45	14	14	14
HNZR	8650-PP	45	14	14	14
HNZR	8651-PP	45	14	14	14
HNZR	8652-PP	45	14	14	14
HNZR	8654-PP	45	14	14	14
HNZR	8657-PP	45	14	14	14
HNZR	8664-PP	18	15	14	15
HNZR	8665-PP	18	15	14	15
HNZR	8673-PP	98	24	24	24
HNZR	8677-PP	45	14	14	14
HNZR	9905-PP	56	15	14	15
JWTR	EGR088RM	13	19.5	9	5
JWTR	EGR312RM	20	30.5	10.5	11
JWTR	4359548RM	54	16.5	16.5	9
JWTR	EGR540XD	18	24	11	11
JWTR	EGR692RM	13	19.5	9	5
JWTR	EGR887RM	24	30.5	10.5	11
JWTR	28317158	2	9.5	4.5	2.5
JWTR	28337917	1	9.5	4.5	2.5
JWTR	0445120177	1	9.5	4.5	2.5
JWTR	0986435415	1	9.5	4.5	2.5
JWTR	0986435433	1	9.5	4.5	2.5
JWTR	0986435505	1	9.5	4.5	2.5
JWTR	0986435518	1	9.5	4.5	2.5
JWTR	0986435520	1	9.5	4.5	2.5
JWTR	0986435574	1	9.5	4.5	2.5
JWTR	0986435521	2	9.5	4.5	2.5
JWTR	06237	15	13	9	6.5
JWTR	06445	14	13	9	6.5
JWTR	0986444517	15	13	9	6.5
JWTR	DB2431JT3982	12	12	11	9
JWTR	3348F010	13	13	9	6.5
JWTR	294050-0014	13	13	9	6.5
JWTR	294000-1202	10	13	9	6.5
JWTR	294000-0265	10	13	9	6.5
JWTR	0460424422	17	12	12	12
JWTR	0460424056	15	12	12	12
JWTR	0460424496	17	12	12	12
JWTR	104135-4100	5	8	8	8
JWTR	DB4821	13	10	10	10
JWTR	640002	1	7	4.5	2.5
JWTR	590006	1	10.5	5	2.5
JWTR	904500S	1.5	4	3.5	3.5
JWTR	FP4374	1.5	6	6	6
JWTR	660011	1	10.5	5	2.5
FLHQ	MS641	18	15.5	9	6
WIL	91-29-5106	19	14.5	7	7
WIL	91-01-4779	19	14.5	7	7
WIL	90-01-4725N	19	12.25	9.5	7
WIL	90-01-4725	19	12.25	9.5	7
WIL	90-01-4576N	17	12.25	9.5	7
WIL	91-29-5138	19	14.75	7	7
WIL	90-15-6390	16	8.25	7.5	7
BBBN	10461454	20	16	7.5	5.5
BBBN	19020310	17	11	7.5	8
BBBN	8600310	18	10.5	9	6.5
FLHQ	MS641	19	15	8.5	6
MSC	33-1001	5	7.75	4	4
FHHC	101211-8140	24	12.5	7.5	9.75
BBNF	TG228000-8420	25	16.25	8.25	8.5
BBNF	TG228080-7371	25	16.25	8.25	8.5
FHHC	210-0643	14	10.5	8.5	6.75
FLHQ	MG148	30	12	9.5	8.5
FLHQ	MG314	12.5	9.75	7.25	7
BBHK	0001230013	19	13.75	5.75	7.5
BBNF	212-0101	18.5	13	12	0.75
BBNF	212-0110	18	10	8	9
BBNF	212-0111	18	10.75	10	7.5
BBNF	282-0110	34	19.5	10.25	7.25
BBNF	282-0108	34.5	19.75	10.25	7.5
BBNF	282-0110	34.5	19.5	10.25	7.25
BBHK	0001230013	18	13.5	7.5	5.75
BBHK	SR8574X	18	14.25	6.25	8.25
BBHK	SR0469N	8.5	12.5	7	5.25
BBHK	SR0473N	9	12.5	7	5.25
BBHK	F042002149	35	18	10.5	7.5
BBHK	1986A00014	12	9	7.25	6.75
BBHK	0124625068	19	11	9	8
BBHK	1986A00751	11	9.25	7.25	7.5
BBBN	8200330	35	18.75	11.5	7.5
BBHK	1986A00015	32	12.75	10	11
BBHK	AL9963SB	19	11	9	8
BBHK	AL9962SB	19	11	9	8
BBHK	AL0791X	14	11	9	8
BBHK	AL0798N	18	11	9	8
BBHK	AL0791N	14	11	9	8
BBHK	AL8730X	14	11	9	8
BBHK	AL6487X	18	11	9	8
BBNF	282-0111	34	19.75	10.25	7.5
BBNF	212-0102	17	11	10	7.5
BBNF	282-0206	31	19.5	10.25	7.5
BBNF	282-0205	31	19.5	10.25	7.5
BBNF	282-0204	30	19.5	10.25	7.5
BBNF	282-0202	29	19.75	10.25	7.5
BBNF	282-0117	34	19.75	10.25	7.5
BBNF	282-0116	34	19.75	10.25	7.5
BBNF	282-0115	34	19.75	10.25	7.5
BBNF	282-0112	34	19.75	10.25	7.5
BBNF	282-0110	34	19.75	10.25	7.5
BBNF	282-0201	29	19.75	10.25	7.5
BBNF	282-0102	60	22	11.25	7.5
BBNF	282-0101	60	22	11.25	7.5
CBXQ	2881702RX	46	14	14.25	19.5
MSC	168824	38	13	12	14
CBXQ	3802290RX	24	12	13	12.25
BCVQ	474840	42	14.5	14.5	17
CBXQ	38022880RX	34	15.5	15.25	16.5
BCVQ	479030	61	14.5	14.5	17
CLVL	AP80050	56	12.25	13.25	14.5
CLVL	AP80054	69	13.5	13.5	15
CBXQ	3802882RX	35	15.5	15.5	16.5
CLVL	AP80057	68	13.75	14.5	13.75
CBXQ	3802946RX	35	15.5	15	16.25
CBXQ	5327360RX	48	14.5	14.5	17
CLVL	AP80058	67	13.5	14.5	14
JWTR	1480	55	20.5	14.5	11.25
CBXQ	5327360RX	48	14.5	14.25	19.75
CBXQ	5458386RX	56	14.5	14	19.75
JWTR	3844	43	13.5	13.25	16
JWTR	4720	65	14.5	14.5	18
JWTR	8211	65	14.5	14.5	18
JWTR	9748	58	14.5	14.5	18
JGHG	3592767H	34	14.5	14	19.75
JGHG	3795961HX	40	14.25	14	17
JGHG	5325950HX	49	14.25	14	19.5
JGHG	5326057HX	51	14.25	14.5	18
JGHG	5326058HX	50	14.5	14	18
JGHG	5499741HX	56	14.5	14.5	17.5
OET	D92080677R	81	16.5	16.5	16.5
OET	D92080689R	62	16.5	16.5	16.5
BFCM	F31CAD-S0182BN	7	11.25	10.25	9
BCVQ	172743	61	12.75	15.5	15.5
JWTR	172743BW	61	12.75	15.5	15.5
CLVL	F58VED-S0026BN	35	18	13.25	12.5
FLHQ	014TC25002100	51	11.75	16.5	17
FLHQ	098TC25606000	55	11.75	16.5	17
285	TC24557000	64	11.75	16.5	17
BCVQ	170-070-2981	44	18.25	14.25	19.75
DGBV	1012006	4	8	8	7.5
DGBV	1012016	4	9.5	9.5	9.5
DGBV	1013004	3	6	6	6
DGBV	1013008	4	8	8.25	8.5
DGBV	1013012	4	9.5	9.5	9.5
DGBV	1013013	4	9.5	9.5	9.5
DGBV	1014003	2.5	6.25	6.25	4.25
DGBV	1015006	2.5	6.25	6.25	4.25
DGBV	1015007	5	12.5	12.5	12.5
DGBV	1017004	4	6.25	6.25	4.25
DGBV	1017005	5	8.25	8.25	8.25
DGBV	1017006	4	8.25	8.25	8.25
DGBV	1018006	3.5	10.75	6.75	6.75
DGBV	1018009	5.5	16.25	10.25	8.5
DGBV	1099007	3	6.25	6.25	4.25
DGBV	1099020	3.5	12.25	6.5	4.25
DGBV	1099021	5	12.5	12	8.75
DGBV	1099022	3	6.25	6.25	4.25
DGBV	1099047	3	12.25	6.25	4.25
DGBV	1099051	3	6.25	6.25	4.25
DGBV	1099063	3.5	8.25	8	8.5
DGBV	1099070	3	8.25	8	8.5
DGBV	1099092	3	8.25	8	8.5
DGBV	1099064	3	8	8.25	7.25
DGBV	1099159	5	14.5	5.5	5
DGBV	1013011	5	17.5	11.75	9
DGBV	1013011	5	17.5	11.5	8.5
DGBV	1113002	0.5	6.25	6.25	4.25
DGBV	1113003	0.5	6.25	6.25	4.25
DGBV	1115001	0.5	6.25	6.25	4.25
DGBV	1115003	1	6.25	6.25	4.25
DGBV	1117003	0.5	6.25	6.25	4.25
DGBV	1199001	0.5	6.25	6.25	4.25
DGBV	1199003	0.5	6.25	6.25	4.25
DGBV	1099312	5	11.25	7.5	6
DGBV	1099321	5	11.25	7.5	6
DGBV	1099094	3.5	8.25	8.25	8.75
DGBV	1199006	0.5	6.25	6.25	4.25
DGBV	1199007	0.5	6.25	6.25	4.25
DGBV	1199009	0.5	6.25	6.25	4.25
DGBV	1199020	0.5	6.25	6.25	4.25
DGBV	1299001	2.5	5.5	7.5	8.75
DGBV	1299008	3.5	11.25	7.5	6
DGBV	1299023	3.5	8.25	8.25	8.75
DGBV	1313002	7	7.5	7.5	2.75
DGBV	1313008	7	6.75	6.25	2.75
DGBV	1380001	7.5	6.75	6.5	3
DGBV	1380002	7.5	6.5	6.5	2.75
DGBV	1380004	9	6.5	6.5	2.75
DGBV	1380005	9	6.5	6.5	2.75
DGBV	1380006	10.5	6.5	6.5	2.75
DGBV	1380007	7.5	6.5	6.5	2.75
DGBV	1399005	7	6.5	6.5	2.75
DGBV	1399008	8	7.5	6.75	3
DGBV	1401107	17	10.75	7.5	7.75
DGBV	1401108	17	10.75	7.5	7.75
DGBV	1401115	17	10.75	7.5	7.75
DGBV	1401120	17	10.75	7.5	7.75
DGBV	1401122	17	10.75	7.5	7.75
DGBV	1401126	17	10.75	7.5	7.75
DGBV	1401127	17	10.75	7.5	7.75
DGBV	1401133	17	10.75	7.5	7.75
DGBV	1401201	19	12	12	8
DGBV	1401339	17	10.75	7.5	7.75
DGBV	1401340	17	10.75	7.5	7.75
DGBV	1401346	17	10.75	7.5	7.75
DGBV	1401347	17	10.75	7.5	7.75
DGBV	1401356	17	10.75	7.5	7.75
DGBV	1401359	17	10.75	7.5	7.75
DGBV	1401362	17	10.75	7.5	7.75
DGBV	1401373	17	10.75	7.5	7.75
DGBV	1401379	17	10.75	7.5	7.75
DGBV	1401380	17	10.75	7.5	7.75
DGBV	1401390	17	10.75	7.5	7.75
DGBV	1401396	17	10.75	7.5	7.75
DGBV	1401397	17	10.75	7.5	7.75
DGBV	1401399	17	10.75	7.5	7.75
DGBV	1401404	17	10.75	7.5	7.75
DGBV	1401405	17	10.75	7.5	7.75
DGBV	1401406	17	10.75	7.5	7.75
DGBV	1401413	17	10.75	7.5	7.75
DGBV	1401414	17	10.75	7.5	7.75
DGBV	1401415	17	10.75	7.5	7.75
DGBV	1401416	17	10.75	7.5	7.75
DGBV	1401426	17	10.75	7.5	7.75
DGBV	1401427	17	10.75	7.5	7.75
DGBV	1401428	17	10.75	7.5	7.75
DGBV	1401437	17	10.75	7.5	7.75
DGBV	1401438	17	10.75	7.5	7.75
DGBV	1401445	17	10.75	7.5	7.75
DGBV	1401438	21	12	12	8
DGBV	1401520	16	11	7.5	7.75
DGBV	1401531	17	11	7.5	7.75
DGBV	1402002	15	10.5	6	7.5
DGBV	1403121	16	11.75	7	7.5
DGBV	1403119	16	11.75	7	7.5
DGBV	1403168	19	13	8.25	7.5
DGBV	1410002	18	10.75	7.5	8
DGBV	1410003	18	10.75	7.5	8
DGBV	1412010	18	10.75	7.5	8
DGBV	1410007	18	10.75	7.5	8
DGBV	1410010	18	10.75	7.5	7.75
DGBV	1410011	18	10.75	7.5	7.75
DGBV	1410013	18	10.75	7.5	7.75
DGBV	1410014	18	10.75	7.5	7.75
DGBV	1410016	17	10.75	7.5	8
DGBV	1410019	17	10.75	7.5	8
DGBV	1410021	18	10.75	7.5	8
DGBV	1410022	17	10.75	7.5	8
DGBV	1410023	17	10.75	7.5	8
DGBV	1410025	18	10.75	7.5	8
DGBV	1410027	17	10.75	7.5	8
DGBV	1410028	18	10.75	7.5	8
DGBV	1410042	17	10.75	7.5	8
DGBV	1410064	17	10.75	7.5	8
DGBV	1410070	17	10.75	7.5	8
DGBV	1410080	18	10.75	7.5	8
DGBV	1410102	18	10.75	7.5	8
DGBV	1411001	15	8.5	6	10.5
DGBV	1411002	15	8.5	6	10.5
DGBV	1411009	38	18	12	12
DGBV	1411016	27	9.5	9.5	13.5
DGBV	1411013	27	9.5	9.5	13.5
GXTN	CO-2393CA	18	10.75	7.5	8
DGBV	1412009	19	11	7.5	10
14-	SD0010NEW	18	10.5	7.5	7.5
DGBV	1412013	18	10.5	7.5	8
BBNF	471-0555	10.5	11	9.5	7.5
FHHC	471-3432	10.5	11	9.5	7.5
FHHC	471-3442	10.5	11	9.5	7.5
FHHC	471-3452	10.5	11	9.5	7.5
FHHC	999-0101	0.65	5.5	2	5.5
DGBV	1812002	0.5	4	1.5	4
DGBV	1812011	0.5	4	0.5	4
DGBV	1812013	0.4	4	0.5	4
DGBV	1812016	0.5	4	1.5	4
DGBV	1813007	0.45	4	3	4
DGBV	1812020	1.15	6	6	4.5
DGBV	1812005	0.45	3.5	1.5	3.5
DGBV	1812007	0.5	4	1.5	4
DGBV	1818006	0.3	4	2	2
DGBV	1812010	0.65	6	6	4.25
DGBV	1812008	0.4	3	3	2
DGBV	1813013	0.35	3	3	2
DGBV	1814006	0.55	4.5	3.5	2
